Year_Month,Num_Lettersa
1872_9,1
1872_10,1
1872_12,1
1873_1,2
1873_3,2
1873_5,2
1873_6,1
1873_7,2
1873_8,1
1873_9,1
1873_10,1
1873_11,2
1874_1,1
1874_2,2
1874_3,2
1874_4,1
1874_6,1
1874_7,4
1874_8,1
1875_2,1
1875_3,1
1875_4,2
1875_5,2
1875_6,2
1875_7,3
1875_8,2
1875_9,12
1875_10,3
1875_11,2
1875_12,6
1876_1,3
1876_2,3
1876_3,3
1876_4,7
1876_5,4
1876_6,1
1876_7,1
1876_8,3
1876_9,2
1876_10,4
1876_11,4
1876_12,1
1877_1,1
1877_2,3
1877_3,5
1877_4,4
1877_5,5
1877_6,2
1877_7,3
1877_8,5
1877_9,3
1877_10,2
1877_11,2
1877_12,3
1878_1,1
1878_2,2
1878_3,1
1878_4,1
1878_5,1
1878_7,1
1878_8,2
1878_11,1
1878_12,1
1879_3,1
1879_4,1
1879_6,1
1879_8,2
1880_6,1
1880_8,1
1880_9,2
1880_10,1
1880_11,1
1880_12,1
1881_1,1
1881_2,1
1881_4,3
1881_5,1
1881_6,1
1881_7,1
1881_8,2
1881_9,1
1881_10,5
1881_11,13
1881_12,5
1882_1,8
1882_2,3
1882_3,7
1882_4,8
1882_5,12
1882_6,7
1882_7,12
1882_8,7
1882_9,10
1882_10,8
1882_11,11
1882_12,9
1883_1,8
1883_2,16
1883_3,12
1883_4,5
1883_5,9
1883_6,10
1883_7,12
1883_8,10
1883_9,12
1883_10,10
1883_11,6
1883_12,11
1884_1,9
1884_2,4
1884_3,12
1884_4,2
1884_5,3
1884_6,2
1884_7,2
1884_8,2
1884_9,9
1884_10,4
1884_11,5
1884_12,5
1885_1,4
1885_2,2
1885_3,5
1885_4,9
1885_5,8
1885_6,5
1885_7,12
1885_8,8
1885_9,2
1885_10,5
1885_11,8
1885_12,5
1886_1,6
1886_2,11
1886_8,1
1886_10,2
1887_7,2
1887_9,1
1887_10,1
1887_12,2
1888_2,5
1888_3,9
1888_4,11
1888_5,17
1888_6,16
1888_7,19
1888_8,18
1888_9,20
1888_10,24
1888_11,7
1888_12,5
1889_1,17
1889_2,4
1889_3,5
1889_4,11
1889_5,13
1889_6,6
1889_7,10
1889_8,4
1889_9,9
1889_10,9
1889_11,8
1889_12,10
1890_1,15
1890_2,7
1890_9,1
1890_3,5
1890_4,3
1890_5,11
1890_6,19
1890_7,8